,,,,,,Scoring,,,,,Goals,,,,Assists,,,,,Ice Time,,,,,,
Rk,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
149,James Neal\nealja01,29,RW,NSH,64,21,17,38,-9,35,18,3,0,4,10,7,0,190,11.1,1140,17:49,16,80,2,3,40.0
150,Adam Henrique\henriad01,26,C,NJD,73,19,19,38,-14,32,12,5,2,2,14,4,1,126,15.1,1340,18:21,60,80,553,592,48.3
151,Teuvo Teravainen\teravte01,22,LW,CAR,71,15,23,38,-4,14,10,5,0,2,14,9,0,138,10.9,1142,16:05,26,18,192,220,46.6
152,Ryan Spooner\spoonry01,25,C,BOS,70,11,27,38,-5,14,8,3,0,3,12,14,1,137,8.0,1000,14:17,17,22,63,102,38.2
153,Gustav Nyquist\nyquigu01,27,RW,DET,67,10,28,38,-3,14,9,1,0,2,24,4,0,146,6.8,1150,17:10,17,43,4,1,80.0
154,Paul Byron\byronpa01,27,LW,MTL,73,20,17,37,15,29,19,0,1,5,14,3,0,89,22.5,1099,15:03,33,104,10,3,76.9
155,Matt Duchene\duchema01,26,C,COL,68,17,20,37,-35,10,14,3,0,3,14,6,0,144,11.8,1245,18:18,39,40,629,370,63.0
156,Derick Brassard\brassde01,29,C,OTT,73,13,24,37,13,20,10,3,0,2,20,4,0,174,7.5,1269,17:23,21,87,551,555,49.8
157,Oliver Ekman-Larsson\ekmanol01,25,D,ARI,74,12,25,37,-24,46,4,8,0,1,15,10,0,137,8.8,1815,24:32,81,106,0,0,
158,Valtteri Filppula\filppva01,32,C,TOT,70,8,29,37,-5,24,8,0,0,1,22,7,0,83,9.6,1225,17:30,34,25,499,558,47.2
159,Zach Parise\parisza01,32,LW,MIN,61,17,19,36,-5,30,12,5,0,4,13,6,0,176,9.7,1085,17:47,65,46,6,4,60.0
160,Ryan Nugent-Hopkins\nugenry01,23,C,EDM,74,15,21,36,-13,27,11,4,0,4,16,5,0,192,7.8,1316,17:47,30,43,494,636,43.7
161,Lee Stempniak\stemple01,33,RW,CAR,72,14,22,36,-1,32,12,2,0,2,18,4,0,119,11.8,1138,15:49,14,101,3,5,37.5
162,Mathieu Perreault\perrema01,29,C,WPG,58,10,26,36,-9,28,8,2,0,2,16,10,0,120,8.3,935,16:07,22,91,97,92,51.3
163,Jake Gardiner\gardija01,26,D,TOR,73,9,27,36,25,30,7,2,0,2,18,9,0,117,7.7,1563,21:25,75,60,0,0,
164,John Carlson\carlsjo01,27,D,WSH,67,8,28,36,11,10,6,2,0,3,14,13,1,168,4.8,1527,22:48,116,57,0,0,
165,Alec Martinez\martial01,29,D,LAK,73,8,28,36,-13,22,6,1,1,3,17,11,0,131,6.1,1579,21:38,147,127,0,1,0.0
166,Ryan Suter\suterry01,32,D,MIN,73,8,28,36,32,32,3,4,1,1,20,7,1,147,5.4,1981,27:09,86,69,0,0,
167,Keith Yandle\yandlke01,30,D,FLA,73,5,31,36,-3,37,3,2,0,0,18,12,1,160,3.1,1616,22:08,70,24,0,0,
168,Matt Niskanen\niskama01,30,D,WSH,70,4,32,36,23,26,3,1,0,1,23,8,1,136,2.9,1556,22:14,87,127,0,0,
169,Brent Seabrook\seabrbr01,31,D,CHI,72,3,33,36,2,20,1,2,0,0,21,12,0,119,2.5,1582,21:58,127,105,0,0,
170,Rick Nash\nashri01,32,RW,NYR,61,20,15,35,7,22,13,6,1,3,12,3,0,183,10.9,1007,16:30,31,60,0,1,0.0
171,David Backes\backeda01,32,RW,BOS,66,16,19,35,-1,65,14,2,0,2,15,4,0,155,10.3,1130,17:08,41,198,59,62,48.8
172,Ryan Ellis\ellisry01,26,D,NSH,63,15,20,35,11,29,11,4,0,3,11,7,2,118,12.7,1517,24:05,118,59,0,0,
