Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
85,Darren Collison\collida01,PG,29,SAC,62,58,30.6,5.0,10.6,.472,1.1,2.7,.418,3.9,7.9,.491,.526,2.0,2.4,.863,0.4,1.9,2.2,4.5,1.0,0.1,1.6,1.8,13.2
86,Nick Collison\collini01,PF,36,OKC,15,0,6.0,0.6,0.9,.692,0.0,0.0,,0.6,0.9,.692,.692,0.3,0.5,.625,0.4,0.9,1.3,0.7,0.1,0.1,0.2,0.8,1.5
87,Mike Conley\conlemi01,PG,29,MEM,60,59,33.3,6.5,14.5,.449,2.4,5.9,.397,4.2,8.6,.485,.531,4.7,5.5,.853,0.5,3.2,3.6,6.3,1.3,0.3,2.2,1.9,20.0
88,Pat Connaughton\connapa01,SG,24,POR,33,0,6.9,0.7,1.3,.500,0.3,0.5,.500,0.4,0.8,.500,.602,0.2,0.3,.778,0.3,0.8,1.1,0.5,0.1,0.1,0.3,0.5,1.8
89,Quinn Cook\cookqu01,PG,23,TOT,7,0,11.3,1.6,3.7,.423,0.7,2.1,.333,0.9,1.6,.545,.519,0.0,0.3,.000,0.0,0.4,0.4,1.9,0.1,0.0,1.1,0.9,3.9
89,Quinn Cook\cookqu01,PG,23,DAL,5,0,15.4,2.2,5.0,.440,1.0,2.8,.357,1.2,2.2,.545,.540,0.0,0.4,.000,0.0,0.6,0.6,2.4,0.2,0.0,1.6,1.2,5.4
89,Quinn Cook\cookqu01,PG,23,NOP,2,0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
90,DeMarcus Cousins\couside01,C,26,TOT,68,68,34.0,8.9,19.9,.449,1.8,4.9,.357,7.2,15.0,.479,.493,7.1,9.3,.767,2.1,8.7,10.8,4.6,1.4,1.3,3.7,3.8,26.8
90,DeMarcus Cousins\couside01,C,26,SAC,55,55,34.4,9.2,20.3,.451,1.7,4.9,.354,7.5,15.5,.482,.494,7.7,10.0,.770,2.1,8.5,10.6,4.8,1.4,1.3,3.8,3.7,27.8
90,DeMarcus Cousins\couside01,C,26,NOP,13,13,32.5,7.9,18.1,.438,1.9,5.2,.368,6.0,12.8,.467,.491,4.7,6.3,.744,2.2,9.5,11.7,3.4,1.6,1.2,3.6,4.3,22.5
91,Robert Covington\covinro01,SF,26,PHI,65,65,31.5,4.3,10.8,.396,2.0,6.1,.335,2.2,4.7,.476,.491,2.1,2.6,.820,1.4,5.1,6.4,1.5,1.9,1.0,2.0,3.0,12.7
92,Allen Crabbe\crabbal01,SG,24,POR,72,7,28.5,3.7,8.0,.465,1.6,3.7,.439,2.1,4.4,.487,.566,1.4,1.7,.858,0.3,2.6,2.8,1.2,0.6,0.2,0.8,2.2,10.5
93,Jamal Crawford\crawfja01,SG,36,LAC,74,1,26.4,4.4,10.7,.415,1.4,3.9,.363,3.0,6.7,.446,.482,2.1,2.4,.860,0.2,1.4,1.7,2.7,0.8,0.2,1.7,1.5,12.4
